title link;rank;title name;exclusive;cumulative_rank;Type;platform;week_num
flixpatrol.com/title/the-equalizer-2/;1;The Equalizer 2;;;Movies;Hulu;1
flixpatrol.com/title/world-war-z/;2;World War Z;;;Movies;Hulu;1
flixpatrol.com/title/jumanji-welcome-to-the-jungle/;3;Jumanji: Welcome to the Jungle;;;Movies;Hulu;1
flixpatrol.com/title/sicario-2-soldado/;4;Sicario: Day Of The Soldado;;;Movies;Hulu;1
flixpatrol.com/title/she-ball/;5;She Ball;;;Movies;Hulu;1
flixpatrol.com/title/ripd/;6;R.I.P.D.;;;Movies;Hulu;1
flixpatrol.com/title/the-hobbit-an-unexpected-journey/;7;The Hobbit: An Unexpected Journey;;;Movies;Hulu;1
flixpatrol.com/title/12-strong/;8;12 Strong;;;Movies;Hulu;1
flixpatrol.com/title/deck-the-halls/;9;Deck the Halls;;;Movies;Hulu;1
flixpatrol.com/title/hustlers/;10;Hustlers;;;Movies;Hulu;1
flixpatrol.com/title/family-guy/;1;Family Guy;;;TV Shows;Hulu;1
flixpatrol.com/title/power-book-ii-ghost/;2;Power Book II: Ghost;;;TV Shows;Hulu;1
flixpatrol.com/title/yellowjackets/;3;Yellowjackets;;;TV Shows;Hulu;1
flixpatrol.com/title/chicago-fire/;4;Chicago Fire;;;TV Shows;Hulu;1
flixpatrol.com/title/dexter-new-blood/;5;Dexter: New Blood;;;TV Shows;Hulu;1
flixpatrol.com/title/futurama/;6;Futurama;;;TV Shows;Hulu;1
flixpatrol.com/title/greys-anatomy/;7;Grey's Anatomy;;;TV Shows;Hulu;1
flixpatrol.com/title/law-order-special-victims-unit/;8;Law & Order: Special Victims Unit;;;TV Shows;Hulu;1
flixpatrol.com/title/landscapers/;9;Landscapers;;;TV Shows;Hulu;1
flixpatrol.com/title/bobs-burgers/;10;Bob's Burgers;;;TV Shows;Hulu;1
flixpatrol.com/title/the-suicide-squad/;1;The Suicide Squad;;;Movies;Hulu;2
flixpatrol.com/title/the-change-up/;2;The Change-Up;;;Movies;Hulu;2
flixpatrol.com/title/the-survivalist-2021/;3;The Survivalist;;;Movies;Hulu;2
flixpatrol.com/title/the-equalizer-2/;4;The Equalizer 2;;;Movies;Hulu;2
flixpatrol.com/title/jumanji-welcome-to-the-jungle/;5;Jumanji: Welcome to the Jungle;;;Movies;Hulu;2
flixpatrol.com/title/world-war-z/;6;World War Z;;;Movies;Hulu;2
flixpatrol.com/title/crime-story-2021/;7;Crime Story;;;Movies;Hulu;2
flixpatrol.com/title/mr-mrs-smith/;8;Mr. & Mrs. Smith;;;Movies;Hulu;2
flixpatrol.com/title/sicario-2-soldado/;9;Sicario: Day Of The Soldado;;;Movies;Hulu;2
flixpatrol.com/title/hulk/;10;Hulk;;;Movies;Hulu;2
flixpatrol.com/title/yellowjackets/;1;Yellowjackets;;;TV Shows;Hulu;2
flixpatrol.com/title/dexter-new-blood/;2;Dexter: New Blood;;;TV Shows;Hulu;2
flixpatrol.com/title/power-book-ii-ghost/;3;Power Book II: Ghost;;;TV Shows;Hulu;2
flixpatrol.com/title/family-guy/;4;Family Guy;;;TV Shows;Hulu;2
flixpatrol.com/title/chicago-fire/;5;Chicago Fire;;;TV Shows;Hulu;2
flixpatrol.com/title/law-order-special-victims-unit/;6;Law & Order: Special Victims Unit;;;TV Shows;Hulu;2
flixpatrol.com/title/futurama/;7;Futurama;;;TV Shows;Hulu;2
flixpatrol.com/title/next-level-chef/;8;Next Level Chef;;;TV Shows;Hulu;2
flixpatrol.com/title/bobs-burgers/;9;Bob's Burgers;;;TV Shows;Hulu;2
flixpatrol.com/title/law-order-organized-crime/;10;Law & Order: Organized Crime;;;TV Shows;Hulu;2
flixpatrol.com/title/mr-mrs-smith/;1;Mr. & Mrs. Smith;;;Movies;Hulu;3
flixpatrol.com/title/paul/;2;Paul;;;Movies;Hulu;3
