"","title.name","title.link","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel","Drama","Comedy","Family","Action","Sci.Fi","Suspense","Romance","Other","mpaa_R_Restricted","mpaa_G_General_audiences","mpaa_PG_Parental_guidance_suggested","mpaa_PG13_Parents_strongly_cautioned","mpaa_NC17_Adults_only","mpaa_Not_Rated"
"1","10,000 BC","flixpatrol.com/title/10000-bc/",0,1,1,5.1,61,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"2","12 Strong","flixpatrol.com/title/12-strong/",0,3,1,6.5,12.6666666666667,3.66666666666667,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"3","17 Again","flixpatrol.com/title/17-again/",0,1,1,6.4,51,0,6,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"4","1899","flixpatrol.com/title/1899/",1,2,0,7.4,19,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"5","21","flixpatrol.com/title/21/",0,1,1,6.8,35,4,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"6","21 Bridges","flixpatrol.com/title/21-bridges/",0,1,1,6.6,11,0,9,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"7","21 Jump Street","flixpatrol.com/title/21-jump-street/",0,5,1,7.2,41.5,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
"8","300","flixpatrol.com/title/300/",0,1,1,7.6,8,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"9","365 Days : This Day","flixpatrol.com/title/365-days-this-day/",1,1,1,2.6,23,3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"10","A Bad Moms Christmas","flixpatrol.com/title/a-bad-moms-christmas/",0,1,1,5.6,8,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"11","A Jazzman's Blues","flixpatrol.com/title/a-jazzmans-blues/",1,2,1,6.7,16.5,7.5,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"12","A Not So Merry Christmas","flixpatrol.com/title/a-not-so-merry-christmas/",1,1,1,4.8,19,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"13","A Perfect Pairing","flixpatrol.com/title/a-perfect-pairing/",1,3,1,6.1,31.3333333333333,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"14","A Walk Among the Tombstones","flixpatrol.com/title/a-walk-among-the-tombstones/",0,2,1,6.5,7,0.5,11,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"15","After Ever Happy","flixpatrol.com/title/after-ever-happy/",0,1,1,4.5,7,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"16","After We Fell","flixpatrol.com/title/after-we-fell/",0,1,1,4.7,12,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"17","Against the Ice","flixpatrol.com/title/against-the-ice/",1,1,1,6.5,22,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"18","Aileen Wuornos: American Boogeywoman","flixpatrol.com/title/aileen-wuornos-american-boogeywoman/",0,1,1,3.8,11,1,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"19","Alba","flixpatrol.com/title/alba-2021/",1,1,0,6.4,20,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"20","Alice in Borderland","flixpatrol.com/title/alice-in-borderland/",1,2,0,7.7,18,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
"21","All American","flixpatrol.com/title/all-american/",0,6,0,7.6,30.5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"22","All American: Homecoming","flixpatrol.com/title/all-american-homecoming/",0,3,0,6.2,29.3333333333333,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"23","All of Us Are Dead","flixpatrol.com/title/all-of-us-are-dead/",1,5,0,7.5,21.4,0.2,4,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
"24","All Quiet on the Western Front","flixpatrol.com/title/all-quiet-on-the-western-front-2022/",1,2,1,8.1,23.5,2.5,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"25","Alone","flixpatrol.com/title/alone-2015/",0,5,0,6.2,13.2,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"26","Amandla","flixpatrol.com/title/amandla/",1,1,1,5.6,24,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"27","Anatomy of a Scandal","flixpatrol.com/title/anatomy-of-a-scandal/",1,3,0,7,21.3333333333333,2.33333333333333,7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"28","Anchorman: The Legend of Ron Burgundy","flixpatrol.com/title/anchorman-the-legend-of-ron-burgundy/",0,1,1,7.1,66,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
"29","Ancient Apocalypse","flixpatrol.com/title/ancient-apocalypse-2022/",1,2,0,7.3,20,5.5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"30","Annabelle: Creation","flixpatrol.com/title/annabelle-creation/",0,2,1,6.5,11.5,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"31","Archive 81","flixpatrol.com/title/archive-81/",1,3,0,7.3,21.3333333333333,0.333333333333333,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
