title name;genre;MPAA_rating;rating
The Equalizer 2;Action,Crime,Thriller,;R,;6.7
World War Z;Action,Adventure,Horror,Sci-Fi,;PG-13,;7.0
Jumanji: Welcome to the Jungle;Action,Adventure,Comedy,Fantasy,;PG-13,;6.9
Sicario: Day Of The Soldado;Action,Crime,Drama,Mystery,Thriller,;R,;7.0
She Ball;Comedy,Drama,Sport,;R,;3.2
R.I.P.D.;Action,Adventure,Comedy,Crime,Fantasy,Sci-Fi,;TV-14,TV-14,PG-13,;5.6
The Hobbit: An Unexpected Journey;Fantasy,;PG-13,PG-13,;7.8
12 Strong;Action,Drama,History,War,;R,;6.5
Deck the Halls;Comedy,Family,;PG,;5.0
Hustlers;Comedy,Crime,Drama,;R,;6.3
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Yellowjackets;Drama,Horror,Mystery,Thriller,;TV-MA,;7.9
Chicago Fire;Action,Drama,;TV-14,;8.0
Dexter: New Blood;Crime,Drama,Mystery,;TV-MA,;8.1
Futurama;Animation,Adventure,Comedy,Sci-Fi,;TV-14,TV-14,TV-PG,TV-PG,;8.5
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Landscapers;Comedy,Crime,Drama,;TV-MA,;7.0
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
The Suicide Squad;Action,Adventure,Comedy,Sci-Fi,;R,;7.2
The Change-Up;Comedy,Fantasy,;R,;6.3
The Survivalist;Drama,Sci-Fi,Thriller,;Not Rated,;6.4
The Equalizer 2;Action,Crime,Thriller,;R,;6.7
Jumanji: Welcome to the Jungle;Action,Adventure,Comedy,Fantasy,;PG-13,;6.9
World War Z;Action,Adventure,Horror,Sci-Fi,;PG-13,;7.0
Crime Story;Biography,Crime,Drama,;TV-MA,;8.4
Mr. & Mrs. Smith;Action,Comedy,Crime,Thriller,;TV-14,PG-13,Unrated,;6.5
Sicario: Day Of The Soldado;Action,Crime,Drama,Mystery,Thriller,;R,;7.0
Hulk;Action,Sci-Fi,;Not Rated,PG-13,;5.6
Yellowjackets;Drama,Horror,Mystery,Thriller,;TV-MA,;7.9
Dexter: New Blood;Crime,Drama,Mystery,;TV-MA,;8.1
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Chicago Fire;Action,Drama,;TV-14,;8.0
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Futurama;Animation,Adventure,Comedy,Sci-Fi,;TV-14,TV-14,TV-PG,TV-PG,;8.5
Next Level Chef;Reality-TV,;TV-14,;6.8
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
Law & Order: Organized Crime;Crime,Drama,Mystery,Thriller,;TV-14,;7.7
Mr. & Mrs. Smith;Action,Comedy,Crime,Thriller,;TV-14,PG-13,Unrated,;6.5
Paul;Adventure,Comedy,Sci-Fi,;R,;6.9
The Suicide Squad;Action,Adventure,Comedy,Sci-Fi,;R,;7.2
2 Guns;Action,Thriller,;R,;6.7
Role Models;Comedy,;TV-14,R,;6.8
Hulk;Action,Sci-Fi,;Not Rated,PG-13,;5.6
Sex Appeal;Comedy,Drama,Romance,;TV-MA,;5.3
When in Rome;Comedy,Romance,;PG-13,;5.5
Welcome Home Roscoe Jenkins;Comedy,Romance,;TV-14,PG-13,;5.5
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Euphoria;Drama,;TV-MA,;8.4
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Yellowjackets;Drama,Horror,Mystery,Thriller,;TV-MA,;7.9
Dexter: New Blood;Crime,Drama,Mystery,;TV-MA,;8.1
Law & Order: Organized Crime;Crime,Drama,Mystery,Thriller,;TV-14,;7.7
Women of the Movement;Biography,Drama,History,;TV-MA,;7.5
This Is Us;Comedy,Drama,Romance,;TV-14,TV-PG,;8.7
It's Always Sunny in Philadelphia;Comedy,;TV-MA,;8.8
Abbott Elementary;Comedy,;TV-PG,;8.2
Ray Donovan: The Movie;Crime,Drama,Thriller,;TV-MA,;6.8
The Last Duel;Action,Drama,History,Thriller,;TV-MA,R,;7.4
Sex Appeal;Comedy,Drama,Romance,;TV-MA,;5.3
Hitman's Wife's Bodyguard;Action,Comedy,Crime,Thriller,;R,;6.1
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Space Jam: A New Legacy;Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi,Sport,;PG,;4.5
Paul;Adventure,Comedy,Sci-Fi,;R,;6.9
Robin Hood;Action,Adventure,Drama,History,;PG-13,;6.6
Forrest Gump;Drama,Romance,;TV-PG,PG-13,;8.8
The Suicide Squad;Action,Adventure,Comedy,Sci-Fi,;R,;7.2
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Euphoria;Drama,;TV-MA,;8.4
How I Met Your Father;Comedy,Drama,;TV-14,;5.5
20/20;Documentary,News,;Unrated,;6.7
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
Yellowjackets;Drama,Horror,Mystery,Thriller,;TV-MA,;7.9
Futurama;Animation,Adventure,Comedy,Sci-Fi,;TV-14,TV-14,TV-PG,TV-PG,;8.5
The Righteous Gemstones;Comedy,Drama,;TV-MA,;8.1
This Is Us;Comedy,Drama,Romance,;TV-14,TV-PG,;8.7
Pivoting;Comedy,;TV-14,;6.8
Joy Ride;Action,Mystery,Thriller,;R,;6.6
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Hitman's Wife's Bodyguard;Action,Comedy,Crime,Thriller,;R,;6.1
Ray Donovan: The Movie;Crime,Drama,Thriller,;TV-MA,;6.8
